127.0.0.1 - - [10/Apr/2018:17:24:03 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/orderHome HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/resources/css/bootstrap-theme.css HTTP/1.1" 200 14936
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/resources/css/app.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/resources/js/bootstrap.js HTTP/1.1" 200 55258
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/resources/css/bootstrap.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/resources/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/resources/js/jquery-ui-1.10.4.js HTTP/1.1" 200 436715
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /order-fulfillment-processor/resources/js/underscore-min.js HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:12 -0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:17 -0700] "GET /order-fulfillment-processor/viewOrders HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:22 -0700] "GET /order-fulfillment-processor/resetOrders HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [10/Apr/2018:17:26:24 -0700] "POST /order-fulfillment-processor/resetOrders HTTP/1.1" 200 4308
